default,de
Rechthoek / vierkant,Rechteck / Quadrat
Rond / ovaal,Rund / oval
Hooi (4005),Heu (4005)
Licht zand (4009),Hellsand (4009)
Mais (4034),Mais (4034)
Beige (4050),Beige (4050)
Tarwe (4062),Weizen (4062)
Maximaal 3.000cm in lengte en minimaal 400cm breed,Maximal 3000 cm lang und minimal 400 cm breit
Breder dan 400cm,Breiter als 400 cm
Ja,Ja
Neem contact op,Kontaktieren Sie uns
Staaltje,Muster
Kleur sisal vloerkleed,Farbiger Sisalteppich
Gratis staaltje bestellen? Max. 3 per bestelling,Muster bestellen? Maximal 3 pro Bestellung.
Gratis staaltje,Muster
Vloerkleed type,Teppichart
Visgraat,Fischgrätmuster
Isis,Isis
Dragon Grass,Dragon Grass
Kleur Visgraat,Farbiges Fischgrätmuster
Kleur Isis,Farb Isis
Kleur Dragon Grass,Farb Dragon Grass
Sisal type,Sisal-Typ
<p><strong>Eenvoudig</strong> jouw unieke sisal vloerkleed op maat samenstellen.</p><p><br></p><ol><li>Kies uit 3 verschillende sisal types</li><li>Bepaal de kleur van het vloerkleed</li><li>Keuze uit 2 bandsoorten</li><li>Bepaal grootte vloerkleed</li></ol>,"<p>Gestalten Sie <strong>ganz einfach</strong> Ihren eigenen einzigartigen Sisalteppich.</p><p><br></p><ol><li>Wählen Sie aus 3 verschiedenen Sisalarten</li><li>Wählen Sie die Farbe des Sisal Teppichs</li><li>Wählen Sie aus 2 Gurtbandarten</li><li>Bestimmen Sie die Größe des Teppichs</li></ol>
"
Vloerkleed grootte (transparante afwerking) dg,Teppichgröße (transparente Ausführung) dg
Vloerkleed grootte (katoen) dg,Teppichgröße (Baumwolle) dg
Vloerkleed grootte Isis (transparante afwerking),Teppich in der Größe Isis (transparente Ausführung)
Vloerkleed grootte Isis (katoen),Teppichgröße Isis (Baumwolle)
Vloerkleed grootte visgraat (transparante afwerking),Fischgrätmuster-Teppich (transparente Oberfläche)
Vloerkleed grootte visgraat (katoen),Fischgrätmuster-Teppich (Baumwolle)
Kleur sisal loper,Farbiger Sisal Läufer
Sisal loper afmeting,Sisal Läuferabmessungen
Sisal loper afmeting (transparante afwerking),Abmessungen des Sisal Läufers (transparente Oberfläche)
Sisal loper afmeting (katoen),Sisal Läufergröße (Baumwolle)
Sisal loper afmeting (chenille),Sisal Läufergröße (Chenille)
Sisal loper afmeting (leerlook),Sisal Läufer-Maße (Lederoptik)
Afmeting sisal loper,Abmessungen des Sisalläufers
Afmeting sisal loper (transparante afwerking),Abmessungen des Sisalläufers (transparente Oberfläche)
Afmeting sisal loper (katoen),Abmessungen eines Sisalläufers (Baumwolle)
Afmeting sisal loper (chenille),Abmessungen von Sisalläufer (Chenille)
Afmeting sisal loper (leerlook),Abmessungen des Sisalläufers (Lederoptik)
<p><strong>Eenvoudig</strong> jouw unieke sisal loper op maat samenstellen.</p><p><br></p><ol><li>Kies uit 3 verschillende sisal types</li><li>Bepaal de kleur van de loper</li><li>Keuze uit 2 bandsoorten</li><li>Bepaal afmeting sisal loper</li></ol>,"Gestalte ganz einfach deinen eigenen, einzigartigen Sisalläufer. Wähle aus 3 verschiedenen Sisalarten. Bestimme die Farbe des Läufers. Wähle aus 2 Gurtbandarten. Bestimme die Größe des Sisalläufers."
Afmeting sisal loper (transparante afwerking) dg,Abmessungen Sisalläufer (transparente Oberfläche) dg
Afmeting sisal loper (katoen) dg,Sisal Läufer (Baumwolle) Größe dg
Afmeting sisal loper (transparante afwerking) visgraat,Abmessungen Sisal Läufer (transparente Oberfläche) Fischgrätmuster
Afmeting sisal loper (katoen) visgraat,Abmessungen Sisal Läufer (Baumwolle) Fischgrät
Afmeting sisal loper (transparante afwerking) isis,Abmessungen Sisal Läufer (transparente Oberfläche) Isis
Afmeting sisal loper (katoen) isis,Abmessungen Sisal Läufer (Baumwolle) Isis
<p><strong>Eenvoudig</strong> jouw unieke sisal traploper op maat samenstellen.</p><p><br></p><ol><li>Kies uit 3 verschillende sisal types</li><li>Bepaal de kleur van de traploper</li><li>Keuze uit 2 bandsoorten</li><li>Bepaal afmeting sisal traploper</li></ol>,"Gestalten Sie ganz einfach Ihren eigenen, individuellen Sisal-Treppenläufer. Wählen Sie aus 3 verschiedenen Sisalarten. Bestimmen Sie die Farbe des Treppenläufers. Wählen Sie aus 2 Gurtbandarten. Bestimmen Sie die Größe des Sisal-Treppenläufers."
De bandbreedte van een katoenen bandafwerking is 5cm.,Die Breite eines Baumwollbandabschlusses beträgt 5 cm.
Afmeting sisal traploper,Abmessungen eines Sisal Treppenläufers
Afmeting sisal traploper (transparante afwerking) dg,Abmessungen Sisal Treppenläufer (transparente Ausführung) dg
Afmeting sisal traploper (katoen) dg,Sisal Treppenläufer (Baumwolle) Größe dg
Afmeting sisal traploper (transparante afwerking) visgraat,Abmessungen eines Sisal Treppenläufers (transparente Ausführung) im Fischgrätmuster
Afmeting sisal traploper (katoen) visgraat,Abmessungen Sisal Treppenläufer (Baumwolle) Fischgrätmuster
Afmeting sisal traploper (transparante afwerking) isis,Abmessungen Sisal Treppenläufer (transparente Ausführung)
Afmeting sisal traploper (katoen) isis,Abmessungen Sisal Treppenläufer (Baumwolle)
This is a required field,Dies ist ein Pflichtfeld.
This is a required option,Dies ist eine Pflichtoption.
Please type at least {{minValue}} characters,Bitte geben Sie mindestens {{minValue}} Zeichen ein.
Please type at maximum {{maxValue}} characters,Bitte geben Sie maximal {{maxValue}} Zeichen ein.
Please enter a minimum value of {{minValue}},Bitte geben Sie einen Mindestwert von {{minValue}} ein.
Please enter a maximum value of {{maxValue}},Bitte geben Sie einen Maximalwert von {{maxValue}} ein.
Please select at least {{minValue}} options,Bitte wählen Sie mindestens {{minValue}} Optionen aus
Please select at maximum {{maxValue}} options,Bitte wählen Sie maximal {{maxValue}} Optionen aus.
Between {{minValue}} - {{maxValue}},Zwischen {{minValue}} - {{maxValue}}
Select a minimum of {{minValue}} and a maximum of {{maxValue}} items,Wählen Sie mindestens {{minValue}} und maximal {{maxValue}} Elemente aus.
You've chosen:,Sie haben Folgendes gewählt:
Your selections will add an additional charge of,Ihre Auswahl führt zu einem zusätzlichen Aufpreis von
Total price,Gesamtpreis
This input value is not numeric!,Dieser Eingabewert ist nicht numerisch!
Custom Option for {{productName}},Benutzerdefinierte Option für {{productName}}
Tiered wholesale price,Gestaffelter Großhandelspreis
Quantity,Menge
Savings,Ersparnisse
Save,Speichern
Wholesale discount,Großhandelsrabatt
Apply,Anwenden
Enter your discount here,Geben Sie hier Ihren Rabatt ein.
Discount field must not be blank,Das Feld „Rabatt“ darf nicht leer sein.
Invalid discount code,Ungültiger Rabattcode
Discount,Rabatt
Confirm,Bestätigen
Cancel,Stornieren
From,Aus
Edit options,Bearbeitungsoptionen
Search for a font,Schriftart suchen
Select a font,Schriftart auswählen
Add files,Dateien hinzufügen
Please select,Bitte wählen Sie aus
SOLD OUT,AUSVERKAUFT
Uploading,Hochladen
Please upload file having extensions {{extensions}} - {{fileName}},Bitte laden Sie eine Datei mit den Erweiterungen {{extensions}} - {{fileName}} hoch.
Please upload file size less than {{maxFileSize}}MB - {{fileName}},Bitte laden Sie eine Datei mit einer Größe von weniger als {{maxFileSize}} MB - {{fileName}} hoch.
Something went wrong! Please try again.,Etwas ist schiefgelaufen! Bitte versuchen Sie es erneut.
Customize it,Passe es an.
Customize Your Product,Gestalten Sie Ihr Produkt individuell
Add to cart,In den Warenkorb legen
Choose color,Farbe auswählen
Please upload at least {{minValue}} files,Bitte laden Sie mindestens {{minValue}} Dateien hoch.
Type to search options,"Geben Sie Ihren Suchbegriff ein, um die Suchoptionen zu durchsuchen."
Search options,Suchoptionen
No results found,Keine Ergebnisse gefunden
Numbers are not allowed,Zahlen sind nicht erlaubt
Letters are not allowed,Briefe sind nicht erlaubt
Spaces are not allowed,Leerzeichen sind nicht erlaubt
Special characters are not allowed,Sonderzeichen sind nicht erlaubt.
"<p><strong>Eerst staaltjes bestellen?</strong> <a href=\\\""https://sisalvloerkleden.nl/products/sisal-vloerkleed-staaltje-5x5-cm\\\"" rel=\\\""noopener noreferrer\\\"" target=\\\""_blank\\\"">Bekijk ze hier</a>!</p>",easify
